pair,contact_times
device60<->device71,1
device48<->device60,1
device44<->device45,1
device44<->device59,1
device8<->device99,1
device15<->device67,1
device7<->device9,1
device17<->device49,1
device18<->device48,1
device37<->device48,1
device74<->device97,1
device52<->device72,1
device24<->device57,1
device7<->device98,1
device44<->device67,1
device26<->device94,1
device30<->device31,1
device25<->device46,1
device18<->device67,1
device42<->device98,1
device75<->device81,1
device27<->device99,1
device90<->device99,1
device71<->device99,1
device38<->device95,1
device23<->device57,1
device79<->device94,1
device15<->device91,1
device15<->device17,1
device32<->device90,1
device24<->device77,1
device49<->device52,1
device32<->device58,1
device1<->device32,1
device32<->device98,1
device36<->device63,1
device6<->device76,1
device84<->device90,1
device15<->device22,1
device50<->device94,1
device0<->device95,1
device0<->device41,1
device0<->device50,1
device12<->device33,1
device21<->device8,1
device46<->device65,1
device20<->device77,1
device10<->device3,1
device86<->device92,1
device35<->device63,1
device24<->device68,1
device17<->device55,1
device11<->device40,1
device71<->device79,1
device48<->device84,1
device18<->device62,1
device67<->device7,1
device7<->device70,1
device55<->device7,1
device42<->device78,1
device21<->device83,1
device14<->device16,1
device16<->device7,1
device11<->device31,1
device12<->device72,1
device2<->device40,1
device26<->device66,1
device68<->device93,1
device61<->device80,1
device3<->device61,1
device10<->device61,1
device11<->device46,1
device43<->device46,1
device14<->device72,1
device53<->device92,1
device20<->device92,1
device15<->device74,1
device0<->device62,1
device76<->device79,1
device47<->device79,1
device60<->device95,1
device7<->device82,1
device11<->device7,1
device35<->device44,1
device49<->device58,1
device63<->device95,1
device42<->device80,1
device59<->device96,1
device78<->device82,1
device22<->device72,1
device50<->device8,1
device51<->device81,1
device29<->device9,1
device18<->device51,1
device51<->device74,1
device45<->device51,1
device46<->device86,1
device15<->device77,1
device52<->device67,1
device33<->device85,1
device47<->device84,1
device43<->device56,1
device27<->device48,1
device6<->device66,1
device14<->device49,1
device5<->device84,1
device45<->device61,1
device28<->device69,1
device46<->device66,1
device13<->device55,1
device35<->device59,1
device35<->device97,1
device15<->device50,1
device58<->device59,1
device76<->device98,1
device84<->device94,1
device3<->device94,1
device59<->device94,1
device31<->device69,1
device36<->device87,1
device36<->device55,1
device24<->device92,1
device74<->device92,1
device34<->device74,1
device29<->device33,1
device38<->device60,1
device3<->device57,1
device19<->device75,1
device4<->device58,1
device19<->device4,1
device4<->device92,1
device59<->device93,1
device30<->device35,1
device43<->device75,1
device9<->device95,1
device32<->device81,1
device32<->device34,1
device32<->device87,1
device27<->device90,1
device38<->device97,1
device1<->device73,1
device5<->device72,1
device75<->device92,1
device75<->device76,1
device60<->device7,1
device61<->device7,1
device2<->device85,1
device69<->device94,1
device28<->device5,1
